Date,Price,Open,High,Low,Vol.,Change %
2016.09.21,130.92,130.7,131.09,130.56,0,0.02
2016.09.22,131.72,131.55,131.9,131.37,0.17K,0.61
2016.09.23,131.68,131.75,131.75,131.75,0.52K,-0.03
2016.09.26,130.98,130.79,131.03,130.64,0,-0.53
2016.09.27,132.36,132.12,132.6,132.12,0.14K,1.05
2016.09.28,132.22,132.38,132.38,132.18,0.55K,-0.11
2016.09.29,130.7,130.9,130.95,130.36,145.47K,-1.15
2016.09.30,130.25,131.1,131.21,130.04,216.88K,-0.34
2016.10.03,130.42,130.25,130.61,130.22,140.59K,0.13
2016.10.04,130.15,130.46,130.7,129.8,194.96K,-0.21
2016.10.05,129.54,130.07,130.08,129.4,196.94K,-0.47
2016.10.06,128.93,129.64,129.9,128.54,261.67K,-0.47
2016.10.07,127.99,128.05,128.45,127.39,258.22K,-0.73
2016.10.10,127.41,127.93,127.95,127.14,130.37K,-0.45
2016.10.11,127.7,127.43,127.95,127.41,206.62K,0.23
2016.10.12,127.16,127.47,127.71,126.95,207.49K,-0.42
2016.10.13,127.45,127.44,127.8,127.23,208.26K,0.23
2016.10.14,126.55,127.19,127.22,126.03,276.46K,-0.71
2016.10.17,126.37,126.25,126.46,125.3,244.09K,-0.14
2016.10.18,126.81,126.43,126.98,126.19,207.85K,0.35
2016.10.19,126.82,126.78,127.11,126.61,177.97K,0.01
2016.10.20,126.84,126.65,126.98,126.11,163.01K,0.02
2016.10.21,126.93,126.66,127.25,126.55,128.27K,0.07
2016.10.24,126.8,127.15,127.34,126.65,132.28K,-0.1
2016.10.25,126.93,126.96,127.02,126.45,202.42K,0.1
2016.10.26,126.08,126.81,126.89,125.92,182.76K,-0.67
2016.10.27,125.15,126.07,126.43,124.73,217.27K,-0.74
2016.10.28,125.08,125.08,125.3,124.52,157.60K,-0.06
2016.10.31,125.34,125.08,125.53,125,163.02K,0.21
2016.11.01,124.88,124.92,125.27,124.68,187.23K,-0.37
2016.11.02,125.9,125.38,126.15,125.35,202.92K,0.82
2016.11.03,125.61,125.88,126.41,125.06,232.86K,-0.23
2016.11.04,126.38,125.84,126.68,125.67,142.92K,0.61
